Number,Translator,Chinese Sentences,Gloss,Note
gen-00064,A,你明天带了礼物。,你/礼物/带/明天/。,
gen-00065,A,去年他准备了计划。,去年/他/计划/准备/。,
gen-00066,A,孩子没有找电脑。,孩子/电脑/找/没有/。,
gen-00067,A,你比他更认真。,你/他/认真/更/。,
gen-00068,A,大家比老板更忙。,大家/老板/忙/更/。,
gen-00069,A,老师带了三部电视剧。,老师/三/部/电视剧/带/。,
gen-00070,A,爸爸在商店听了故事。,商店/爸爸/故事/听/。,
gen-00071,A,今天护士找了问题。,今天/护士/问题/找/。,
gen-00072,A,昨天客人看了消息。,昨天/客人/消息/看/。,
gen-00073,A,我们带了一条新闻。,我们/一/条/新闻/带/。,
gen-00074,A,同事没有听故事。,同事/故事/听/没有/。,
gen-00075,A,我准备没准备计划？,我/计划/准备/问/。,
gen-00076,A,爸爸准备没准备晚饭？,爸爸/晚饭/准备/问/。,
gen-00077,A,妈妈上周喝了咖啡。,妈妈/咖啡/喝/上周/。,
gen-00078,A,妈妈刚才写了故事。,妈妈/故事/写/刚才/。,
gen-00079,A,刚才妈妈在门口听了故事，很认真。,刚才/妈妈/门口/故事/听/很认真/。,
gen-00080,A,周末医生写了作业。,周末/医生/作业/写/。,
gen-00081,A,朋友买了药。,朋友/药/买/。,
gen-00082,A,他们准备了四份礼物。,他们/四/份/礼物/准备/。,
gen-00083,A,客人去年吃了午饭。,客人/午饭/吃/去年/。,
gen-00084,A,我们学没学中文？,我们/中文/学/问/。,
gen-00085,A,爸爸做了办法。,爸爸/办法/做/。,
gen-00086,A,同事看了报纸。,同事/报纸/看/。,
gen-00087,A,中午客人学了舞蹈。,中午/客人/舞蹈/学/。,
gen-00088,A,学生明天买了面包。,学生/面包/买/明天/。,
gen-00089,A,他们在家讨论了计划。,家/他们/计划/讨论/。,
gen-00090,A,学生在深圳写了文件。,深圳/学生/文件/写/。,
gen-00091,A,下午你听了消息。,下午/你/消息/听/。,
gen-00092,A,护士不看报纸。,护士/报纸/看/不/。,
gen-00093,A,孩子没喝牛奶。,孩子/牛奶/喝/没/。,
gen-00094,A,孩子准备没准备计划？,孩子/计划/准备/问/。,
gen-00095,A,朋友吃没吃香蕉？,朋友/香蕉/吃/问/。,
gen-00096,A,他们带了一根香蕉。,他们/一/根/香蕉/带/。,
gen-00097,A,医生比同事更忙。,医生/同事/忙/更/。,
gen-00098,A,老板在上海喝了牛奶。,上海/老板/牛奶/喝/。,
gen-00099,A,老师比妈妈更高。,老师/妈妈/高/更/。,
gen-00100,A,老板在家带了文件。,家/老板/文件/带/。,
gen-00101,A,同事没有准备午饭。,同事/午饭/准备/没有/。,
gen-00102,A,周末她在教室带了电脑，已经。,周末/她/教室/电脑/带/已经/。,
gen-00103,A,孩子在办公室讨论了计划。,办公室/孩子/计划/讨论/。,
gen-00104,A,我们看没看比赛？,我们/比赛/看/问/。,
gen-00105,A,他们在深圳找了问题。,深圳/他们/问题/找/。,
gen-00106,A,孩子买了三杯咖啡。,孩子/三/杯/咖啡/买/。,
gen-00107,A,医生没有开会。,医生/开会/没有/。,
gen-00108,A,晚上护士在银行准备了早饭，一起。,晚上/护士/银行/早饭/准备/一起/。,
gen-00109,A,他们今天很开心。,他们/今天/开心/。,
gen-00110,A,老板带了两个橘子。,老板/两/个/橘子/带/。,
gen-00111,A,学生看了一份报纸。,学生/一/份/报纸/看/。,
gen-00112,A,学生听了音乐。,学生/音乐/听/。,
gen-00113,A,医生今天很热闹。,医生/今天/热闹/。,
gen-00114,A,孩子在市场看了书。,市场/孩子/书/看/。,
gen-00115,A,她学了中文。,她/中文/学/。,
gen-00116,A,老板上周听了音乐。,老板/音乐/听/上周/。,
gen-00117,A,她没听故事。,她/故事/听/没/。,
gen-00118,A,老板比医生更安静。,老板/医生/安静/更/。,
gen-00119,A,他们今天很安全。,他们/今天/安全/。,
gen-00120,A,妈妈今天很方便。,妈妈/今天/方便/。,
gen-00121,A,老板准备了两个蛋糕。,老板/两/个/蛋糕/准备/。,
gen-00122,A,护士买了三份文件。,护士/三/份/文件/买/。,
gen-00123,A,妈妈不带礼物。,妈妈/礼物/带/不/。,
gen-00124,A,学生明天学了舞蹈。,学生/舞蹈/学/明天/。,
gen-00125,A,他没做计划。,他/计划/做/没/。,
gen-00126,A,老师在学校学了英语。,学校/老师/英语/学/。,
gen-00127,A,我比大家更认真。,我/大家/认真/更/。,
gen-00128,A,我今天很漂亮。,我/今天/漂亮/。,
gen-00129,A,孩子准备了五份礼物。,孩子/五/份/礼物/准备/。,
gen-00130,A,学生比司机更快。,学生/司机/快/更/。,
gen-00131,A,医生准备了四个苹果。,医生/四/个/苹果/准备/。,
gen-00132,A,周末孩子在超市听了消息，一起。,周末/孩子/超市/消息/听/一起/。,
gen-00133,A,我学没学舞蹈？,我/舞蹈/学/问/。,
gen-00134,A,我比他更认真。,我/他/认真/更/。,
gen-00135,A,护士早上买了苹果。,护士/苹果/买/早上/。,
gen-00136,A,老师在办公室听了故事。,办公室/老师/故事/听/。,
gen-00137,A,下午妈妈在饭店写了作业，很久。,下午/妈妈/饭店/作业/写/很久/。,
gen-00138,A,客人吃了午饭。,客人/午饭/吃/。,
gen-00139,A,他不旅行。,他/旅行/不/。,
gen-00140,A,学生看了电影。,学生/电影/看/。,
gen-00141,A,我们比学生更快。,我们/学生/快/更/。,
gen-00142,A,她今天很热闹。,她/今天/热闹/。,
gen-00143,A,妈妈今天很漂亮。,妈妈/今天/漂亮/。,
gen-00144,A,邻居明天找了手机。,邻居/手机/找/明天/。,
gen-00145,A,她买了三张火车票。,她/三/张/火车票/买/。,
gen-00146,A,孩子比邻居更快。,孩子/邻居/快/更/。,
gen-00147,A,去年学生喝了水。,去年/学生/水/喝/。,
gen-00148,A,邻居买了五个办法。,邻居/五/个/办法/买/。,
gen-00149,A,同事带了照片。,同事/照片/带/。,
gen-00150,A,昨天老板在广州做了作业，很久。,昨天/老板/广州/作业/做/很久/。,
gen-00151,A,她今天很干净。,她/今天/干净/。,
gen-00152,A,周末护士在商店学了中文，已经。,周末/护士/商店/中文/学/已经/。,
gen-00153,A,妈妈找没找问题？,妈妈/问题/找/问/。,
gen-00154,A,护士今天很干净。,护士/今天/干净/。,
gen-00155,A,妈妈比朋友更快。,妈妈/朋友/快/更/。,
gen-00156,A,早上护士看了地图。,早上/护士/地图/看/。,
gen-00157,A,邻居比孩子更忙。,邻居/孩子/忙/更/。,
gen-00158,A,司机做了晚饭。,司机/晚饭/做/。,
gen-00159,A,老师今天很漂亮。,老师/今天/漂亮/。,
gen-00160,A,朋友带了五条新闻。,朋友/五/条/新闻/带/。,
gen-00161,A,客人买了两张照片。,客人/两/张/照片/买/。,
gen-00162,A,刚才医生听了消息。,刚才/医生/消息/听/。,
gen-00163,A,司机今天很舒服。,司机/今天/舒服/。,
gen-00164,A,他写了文件。,他/文件/写/。,
gen-00165,A,爸爸在公园准备了文件。,公园/爸爸/文件/准备/。,
gen-00166,A,晚上客人在门口做了午饭，已经。,晚上/客人/门口/午饭/做/已经/。,
gen-00167,A,朋友做没做蛋糕？,朋友/蛋糕/做/问/。,
gen-00168,A,妈妈今天很简单。,妈妈/今天/简单/。,
gen-00169,A,学生买了两条消息。,学生/两/条/消息/买/。,
gen-00170,A,昨天客人在超市看了报纸，已经。,昨天/客人/超市/报纸/看/已经/。,
gen-00171,A,妈妈今天很清楚。,妈妈/今天/清楚/。,
gen-00172,A,爸爸比她更快。,爸爸/她/快/更/。,
gen-00173,A,学生带了三本杂志。,学生/三/本/杂志/带/。,
gen-00174,A,客人买了杂志。,客人/杂志/买/。,
gen-00175,A,你带了电脑。,你/电脑/带/。,
gen-00176,A,司机去年喝了咖啡。,司机/咖啡/喝/去年/。,
gen-00177,A,司机准备了三部手机。,司机/三/部/手机/准备/。,
gen-00178,A,你昨天写了计划。,你/计划/写/昨天/。,
gen-00179,A,下午司机喝了水。,下午/司机/水/喝/。,
gen-00180,A,我们买了面包。,我们/面包/买/。,
gen-00181,A,爸爸比他更快。,爸爸/他/快/更/。,
gen-00182,A,上周医生找了问题。,上周/医生/问题/找/。,
gen-00183,A,学生比老板更认真。,学生/老板/认真/更/。,
gen-00184,A,护士今天很简单。,护士/今天/简单/。,
gen-00185,A,医生比爸爸更安静。,医生/爸爸/安静/更/。,
gen-00186,A,你比她更快。,你/她/快/更/。,
gen-00187,A,妈妈不去超市。,妈妈/超市/去/不/。,
gen-00188,A,他买没买苹果？,他/苹果/买/问/。,
gen-00189,A,邻居在银行听了故事。,银行/邻居/故事/听/。,
gen-00190,A,学生写了消息。,学生/消息/写/。,
gen-00191,A,他今天很方便。,他/今天/方便/。,
gen-00192,A,大家看了一双鞋。,大家/一/双/鞋/看/。,
gen-00193,A,学生准备没准备早饭？,学生/早饭/准备/问/。,
gen-00194,A,我们买了两根香蕉。,我们/两/根/香蕉/买/。,
gen-00195,A,邻居带了一部手机。,邻居/一/部/手机/带/。,
gen-00196,A,爸爸今天很便宜。,爸爸/今天/便宜/。,
gen-00197,A,老板准备了一部手机。,老板/一/部/手机/准备/。,
gen-00198,A,你比医生更忙。,你/医生/忙/更/。,
gen-00199,A,妈妈比我更高。,妈妈/我/高/更/。,
gen-00200,A,大家没有去车站。,大家/车站/去/没有/。,
gen-00201,A,你比他们更认真。,你/他们/认真/更/。,
gen-00202,A,护士写没写文件？,护士/文件/写/问/。,
gen-00203,A,医生比司机更高。,医生/司机/高/更/。,
gen-00204,A,同事今天很干净。,同事/今天/干净/。,
gen-00205,A,中午她在超市做了午饭，已经。,中午/她/超市/午饭/做/已经/。,
gen-00206,A,你听没听音乐？,你/音乐/听/问/。,
gen-00207,A,早上朋友在图书馆学了舞蹈，很认真。,早上/朋友/图书馆/舞蹈/学/很认真/。,
gen-00208,A,护士学没学中文？,护士/中文/学/问/。,
gen-00209,A,老板不听新闻。,老板/新闻/听/不/。,
gen-00210,A,妈妈没上班。,妈妈/上班/没/。,
gen-00211,A,她今天很高兴。,她/今天/高兴/。,
gen-00212,A,学生比他们更忙。,学生/他们/忙/更/。,
gen-00213,A,我带没带照片？,我/照片/带/问/。,
gen-00214,A,刚才她听了音乐。,刚才/她/音乐/听/。,
gen-00215,A,司机上周讨论了计划。,司机/计划/讨论/上周/。,
gen-00216,A,医生准备了两台电脑。,医生/两/台/电脑/准备/。,
gen-00217,A,客人今天很认真。,客人/今天/认真/。,
gen-00218,A,邻居在医院带了文件。,医院/邻居/文件/带/。,
gen-00219,A,他中午写了计划。,他/计划/写/中午/。,
gen-00220,A,妈妈吃没吃早饭？,妈妈/早饭/吃/问/。,
gen-00221,A,大家准备了两个故事。,大家/两/个/故事/准备/。,
gen-00222,A,客人今天很安全。,客人/今天/安全/。,
gen-00223,A,中午客人在路上学了英语，很快。,中午/客人/路上/英语/学/很快/。,
gen-00224,A,学生没去学校。,学生/学校/去/没/。,
gen-00225,A,晚上孩子在宿舍准备了计划，已经。,晚上/孩子/宿舍/计划/准备/已经/。,
gen-00226,A,司机上周吃了橘子。,司机/橘子/吃/上周/。,
gen-00227,A,朋友比她更认真。,朋友/她/认真/更/。,
gen-00228,A,上周护士吃了橘子。,上周/护士/橘子/吃/。,
gen-00229,A,我们在广州喝了牛奶。,广州/我们/牛奶/喝/。,
gen-00230,A,朋友准备了一个蛋糕。,朋友/一/个/蛋糕/准备/。,
gen-00231,A,周末客人在宿舍做了蛋糕，已经。,周末/客人/宿舍/蛋糕/做/已经/。,
gen-00232,A,客人今天很紧张。,客人/今天/紧张/。,
gen-00233,A,他比学生更忙。,他/学生/忙/更/。,
gen-00234,A,他没有喝水。,他/水/喝/没有/。,
gen-00235,A,晚上他们讨论了计划。,晚上/他们/计划/讨论/。,
gen-00236,A,你做了办法。,你/办法/做/。,
gen-00237,A,爸爸做了早饭。,爸爸/早饭/做/。,
gen-00238,A,学生在商店带了照片。,商店/学生/照片/带/。,
gen-00239,A,他们比邻居更快。,他们/邻居/快/更/。,
gen-00240,A,去年孩子找了电脑。,去年/孩子/电脑/找/。,
gen-00241,A,大家今天很认真。,大家/今天/认真/。,
gen-00242,A,护士没排队。,护士/排队/没/。,
gen-00243,A,护士写了故事。,护士/故事/写/。,
gen-00244,A,他去年听了故事。,他/故事/听/去年/。,
gen-00245,A,医生带了三部手机。,医生/三/部/手机/带/。,
gen-00246,A,孩子不去宿舍。,孩子/宿舍/去/不/。,
gen-00247,A,同事比大家更忙。,同事/大家/忙/更/。,
gen-00248,A,我准备了一份作业。,我/一/份/作业/准备/。,
gen-00249,A,你比司机更忙。,你/司机/忙/更/。,
gen-00250,A,邻居没有去医院。,邻居/医院/去/没有/。,
gen-00251,A,妈妈比我们更高。,妈妈/我们/高/更/。,
gen-00252,A,爸爸听了音乐。,爸爸/音乐/听/。,
gen-00253,A,同事比我们更高。,同事/我们/高/更/。,
gen-00254,A,朋友准备了两本杂志。,朋友/两/本/杂志/准备/。,
gen-00255,A,客人上周做了计划。,客人/计划/做/上周/。,
gen-00256,A,他们带了四张火车票。,他们/四/张/火车票/带/。,
gen-00257,A,朋友买了一部手机。,朋友/一/部/手机/买/。,
gen-00258,A,学生周末准备了比赛。,学生/比赛/准备/周末/。,
gen-00259,A,同事在路上喝了牛奶。,路上/同事/牛奶/喝/。,
gen-00260,A,妈妈带了礼物。,妈妈/礼物/带/。,
gen-00261,A,同事今天很重要。,同事/今天/重要/。,
gen-00262,A,孩子比同事更高。,孩子/同事/高/更/。,
gen-00263,A,司机没有带电脑。,司机/电脑/带/没有/。,
gen-00264,A,他没有排队。,他/排队/没有/。,
gen-00265,A,医生买了一份报纸。,医生/一/份/报纸/买/。,
gen-00266,A,刚才客人买了鞋。,刚才/客人/鞋/买/。,
gen-00267,A,同事今天很麻烦。,同事/今天/麻烦/。,
gen-00268,A,我们在北京学了舞蹈。,北京/我们/舞蹈/学/。,
gen-00269,A,晚上邻居学了英语。,晚上/邻居/英语/学/。,
gen-00270,A,同事看了地图。,同事/地图/看/。,
gen-00271,A,学生今天很漂亮。,学生/今天/漂亮/。,
gen-00272,A,周末同事带了文件。,周末/同事/文件/带/。,
gen-00273,A,今天孩子在车站看了电视剧，很久。,今天/孩子/车站/电视剧/看/很久/。,
gen-00274,A,周末老师准备了比赛。,周末/老师/比赛/准备/。,
gen-00275,A,我比你更忙。,我/你/忙/更/。,
gen-00276,A,我们不去路上。,我们/路上/去/不/。,
gen-00277,A,大家不看照片。,大家/照片/看/不/。,
gen-00278,A,我比妈妈更快。,我/妈妈/快/更/。,
gen-00279,A,客人昨天写了文件。,客人/文件/写/昨天/。,
gen-00280,A,我们吃了午饭。,我们/午饭/吃/。,
gen-00281,A,大家不买杂志。,大家/杂志/买/不/。,
gen-00282,A,医生昨天带了礼物。,医生/礼物/带/昨天/。,
gen-00283,A,护士今天很漂亮。,护士/今天/漂亮/。,
gen-00284,A,大家喝没喝牛奶？,大家/牛奶/喝/问/。,
gen-00285,A,学生找没找手机？,学生/手机/找/问/。,
gen-00286,A,爸爸听没听音乐？,爸爸/音乐/听/问/。,
gen-00287,A,司机学了英语。,司机/英语/学/。,
gen-00288,A,晚上护士喝了咖啡。,晚上/护士/咖啡/喝/。,
gen-00289,A,去年我们在公司买了杂志，一起。,去年/我们/公司/杂志/买/一起/。,
gen-00290,A,客人比朋友更认真。,客人/朋友/认真/更/。,
gen-00291,A,老板比爸爸更认真。,老板/爸爸/认真/更/。,
gen-00292,A,邻居学没学中文？,邻居/中文/学/问/。,
gen-00293,A,周末客人讨论了办法。,周末/客人/办法/讨论/。,
gen-00294,A,学生在银行学了英语。,银行/学生/英语/学/。,
gen-00295,A,孩子今天很干净。,孩子/今天/干净/。,
gen-00296,A,中午医生做了蛋糕。,中午/医生/蛋糕/做/。,
gen-00297,A,同事看了四个面包。,同事/四/个/面包/看/。,
gen-00298,A,昨天他喝了牛奶。,昨天/他/牛奶/喝/。,
gen-00299,A,中午我们带了礼物。,中午/我们/礼物/带/。,
gen-00300,A,客人比邻居更忙。,客人/邻居/忙/更/。,
gen-00301,A,下午同事准备了计划。,下午/同事/计划/准备/。,
gen-00302,A,爸爸在学校找了文件。,学校/爸爸/文件/找/。,
gen-00303,A,昨天大家在门口看了书，已经。,昨天/大家/门口/书/看/已经/。,
gen-00304,A,学生今天很难过。,学生/今天/难过/。,
gen-00305,A,上周同事在图书馆写了故事，很高兴。,上周/同事/图书馆/故事/写/很高兴/。,
gen-00306,A,邻居在路上找了问题。,路上/邻居/问题/找/。,
gen-00307,A,邻居准备了计划。,邻居/计划/准备/。,
gen-00308,A,我看了三份作业。,我/三/份/作业/看/。,
gen-00309,A,中午我在超市买了礼物，已经。,中午/我/超市/礼物/买/已经/。,
gen-00310,A,我们在公司讨论了问题。,公司/我们/问题/讨论/。,
gen-00311,A,上周老师学了英语。,上周/老师/英语/学/。,
gen-00312,A,朋友今天很安静。,朋友/今天/安静/。,
gen-00313,A,早上朋友在北京找了手机，很认真。,早上/朋友/北京/手机/找/很认真/。,
gen-00314,A,他们周末找了手机。,他们/手机/找/周末/。,
gen-00315,A,早上护士准备了礼物。,早上/护士/礼物/准备/。,
gen-00316,A,邻居今天很舒服。,邻居/今天/舒服/。,
gen-00317,A,老师在车站带了礼物。,车站/老师/礼物/带/。,
gen-00318,A,下午她在教室准备了比赛，一起。,下午/她/教室/比赛/准备/一起/。,
gen-00319,A,老板今天很简单。,老板/今天/简单/。,
gen-00320,A,学生学了舞蹈。,学生/舞蹈/学/。,
gen-00321,A,我看了杂志。,我/杂志/看/。,
gen-00322,A,我们没上班。,我们/上班/没/。,
gen-00323,A,今天司机讨论了故事。,今天/司机/故事/讨论/。,
gen-00324,A,我们刚才学了舞蹈。,我们/舞蹈/学/刚才/。,
gen-00325,A,客人准备没准备计划？,客人/计划/准备/问/。,
gen-00326,A,昨天孩子在学校学了中文，很久。,昨天/孩子/学校/中文/学/很久/。,
gen-00327,A,中午大家学了舞蹈。,中午/大家/舞蹈/学/。,
gen-00328,A,医生在广州写了作业。,广州/医生/作业/写/。,
gen-00329,A,朋友在家买了面包。,家/朋友/面包/买/。,
gen-00330,A,护士比同事更高。,护士/同事/高/更/。,
gen-00331,A,学生在图书馆学了舞蹈。,图书馆/学生/舞蹈/学/。,
gen-00332,A,他在门口学了英语。,门口/他/英语/学/。,
gen-00333,A,刚才朋友在超市喝了水，已经。,刚才/朋友/超市/水/喝/已经/。,
gen-00334,A,上周老板看了照片。,上周/老板/照片/看/。,
gen-00335,A,周末我们在公园喝了咖啡，很快。,周末/我们/公园/咖啡/喝/很快/。,
gen-00336,A,他们没有睡觉。,他们/睡觉/没有/。,
gen-00337,A,明天司机听了新闻。,明天/司机/新闻/听/。,
gen-00338,A,邻居比朋友更忙。,邻居/朋友/忙/更/。,
gen-00339,A,护士晚上喝了牛奶。,护士/牛奶/喝/晚上/。,
gen-00340,A,妈妈买了五瓶水。,妈妈/五/瓶/水/买/。,
gen-00341,A,早上护士听了音乐。,早上/护士/音乐/听/。,
gen-00342,A,同事写了作业。,同事/作业/写/。,
gen-00343,A,去年邻居带了照片。,去年/邻居/照片/带/。,
gen-00344,A,大家今天很麻烦。,大家/今天/麻烦/。,
gen-00345,A,护士找了电脑。,护士/电脑/找/。,
gen-00346,A,去年司机在门口买了苹果，很久。,去年/司机/门口/苹果/买/很久/。,
gen-00347,A,中午他带了文件。,中午/他/文件/带/。,
gen-00348,A,你晚上看了地图。,你/地图/看/晚上/。,
gen-00349,A,老板找没找电脑？,老板/电脑/找/问/。,
gen-00350,A,中午爸爸在宿舍学了英语，已经。,中午/爸爸/宿舍/英语/学/已经/。,
gen-00351,A,你比朋友更高。,你/朋友/高/更/。,
gen-00352,A,昨天客人在深圳学了英语，很快。,昨天/客人/深圳/英语/学/很快/。,
gen-00353,A,我们比朋友更高。,我们/朋友/高/更/。,
gen-00354,A,我们比同事更忙。,我们/同事/忙/更/。,
gen-00355,A,邻居在商店讨论了问题。,商店/邻居/问题/讨论/。,
gen-00356,A,客人准备了三个蛋糕。,客人/三/个/蛋糕/准备/。,
gen-00357,A,老板周末喝了水。,老板/水/喝/周末/。,
gen-00358,A,同事在门口吃了午饭。,门口/同事/午饭/吃/。,
gen-00359,A,他们看了四瓶牛奶。,他们/四/瓶/牛奶/看/。,
gen-00360,A,学生不去教室。,学生/教室/去/不/。,
gen-00361,A,上周客人讨论了消息。,上周/客人/消息/讨论/。,
gen-00362,A,朋友找了电脑。,朋友/电脑/找/。,
gen-00363,A,孩子比我们更快。,孩子/我们/快/更/。,
gen-00364,A,邻居晚上买了蛋糕。,邻居/蛋糕/买/晚上/。,
gen-00365,A,医生做了蛋糕。,医生/蛋糕/做/。,
gen-00366,A,护士没有睡觉。,护士/睡觉/没有/。,
gen-00367,A,学生今天很麻烦。,学生/今天/麻烦/。,
gen-00368,A,爸爸没睡觉。,爸爸/睡觉/没/。,
gen-00369,A,同事没开会。,同事/开会/没/。,
gen-00370,A,老板学没学中文？,老板/中文/学/问/。,
gen-00371,A,邻居没有写作业。,邻居/作业/写/没有/。,
gen-00372,A,上周她写了作业。,上周/她/作业/写/。,
gen-00373,A,妈妈下午听了消息。,妈妈/消息/听/下午/。,
gen-00374,A,刚才护士做了作业。,刚才/护士/作业/做/。,
gen-00375,A,孩子在学校带了电脑。,学校/孩子/电脑/带/。,
gen-00376,A,孩子不上课。,孩子/上课/不/。,
gen-00377,A,朋友喝了水。,朋友/水/喝/。,
gen-00378,A,明天我们在学校写了计划，已经。,明天/我们/学校/计划/写/已经/。,
gen-00379,A,司机昨天听了音乐。,司机/音乐/听/昨天/。,
gen-00380,A,妈妈看了书。,妈妈/书/看/。,
gen-00381,A,邻居带没带照片？,邻居/照片/带/问/。,
gen-00382,A,早上学生写了作业。,早上/学生/作业/写/。,
gen-00383,A,护士比他更高。,护士/他/高/更/。,
gen-00384,A,邻居今天很麻烦。,邻居/今天/麻烦/。,
gen-00385,A,老板找了电脑。,老板/电脑/找/。,
gen-00386,A,爸爸去年学了中文。,爸爸/中文/学/去年/。,
gen-00387,A,刚才大家在饭店买了药，已经。,刚才/大家/饭店/药/买/已经/。,
gen-00388,A,上周同事喝了水。,上周/同事/水/喝/。,
gen-00389,A,老板带没带药？,老板/药/带/问/。,
gen-00390,A,孩子听了音乐。,孩子/音乐/听/。,
gen-00391,A,妈妈在食堂讨论了问题。,食堂/妈妈/问题/讨论/。,
gen-00392,A,昨天同事在公园讨论了问题，一起。,昨天/同事/公园/问题/讨论/一起/。,
gen-00393,A,明天你在食堂带了电脑，已经。,明天/你/食堂/电脑/带/已经/。,
gen-00394,A,护士周末讨论了故事。,护士/故事/讨论/周末/。,
gen-00395,A,我们晚上喝了水。,我们/水/喝/晚上/。,
gen-00396,A,爸爸看了电影。,爸爸/电影/看/。,
gen-00397,A,你没写故事。,你/故事/写/没/。,
gen-00398,A,司机写没写作业？,司机/作业/写/问/。,
gen-00399,A,爸爸没吃午饭。,爸爸/午饭/吃/没/。,
gen-00400,A,中午医生学了舞蹈。,中午/医生/舞蹈/学/。,
gen-00401,A,孩子今天很困难。,孩子/今天/困难/。,
gen-00402,A,司机中午讨论了故事。,司机/故事/讨论/中午/。,
gen-00403,A,妈妈喝没喝水？,妈妈/水/喝/问/。,
gen-00404,A,医生在公司找了电脑。,公司/医生/电脑/找/。,
gen-00405,A,爸爸做没做作业？,爸爸/作业/做/问/。,
